"id","tema_ordenamento","subtema_ordenamento","objeto_designacao","objeto_codigo"
1,"Área de Intervenção do Plano","Área de Intervenção do Plano","Área de Intervenção do Plano",1
2,"Classificação e Qualificação do Solo","Solo Urbano","Espaço Central",2
3,"Classificação e Qualificação do Solo","Solo Urbano","Espaço Habitacional",3
4,"Classificação e Qualificação do Solo","Solo Urbano","Espaço Urbano de Baixa Densidade",4
5,"Classificação e Qualificação do Solo","Solo Urbano","Espaço de Atividades Económicas",5
6,"Classificação e Qualificação do Solo","Solo Urbano","Espaço de uso especial – equipamento",152
7,"Classificação e Qualificação do Solo","Solo Urbano","Espaço de uso especial – infraestrutura estruturante",151
8,"Classificação e Qualificação do Solo","Solo Urbano","Espaço de uso especial – turístico",6
9,"Classificação e Qualificação do Solo","Solo Urbano","Espaço Verde",7
10,"Classificação e Qualificação do Solo","Solo Rústico","Espaço Agrícola",8
11,"Classificação e Qualificação do Solo","Solo Rústico","Espaço Florestal",9
12,"Classificação e Qualificação do Solo","Solo Rústico","Espaço de Exploração de Recursos Energéticos e Geológicos",10
13,"Classificação e Qualificação do Solo","Solo Rústico","Espaço Natural e Paisagístico",11
14,"Classificação e Qualificação do Solo","Solo Rústico","Espaço de Atividades Industriais",12
15,"Classificação e Qualificação do Solo","Solo Rústico","Aglomerado Rural",13
16,"Classificação e Qualificação do Solo","Solo Rústico","Área de Edificação Dispersa",14
17,"Classificação e Qualificação do Solo","Solo Rústico","Espaço Cultural",15
18,"Classificação e Qualificação do Solo","Solo Rústico","Espaço de Ocupação Turística",16
19,"Classificação e Qualificação do Solo","Solo Rústico","Espaço de Equipamentos e Infraestruturas",17
20,"Áreas com Funções Específicas","Estrutura Ecológica Municipal","Estrutura Ecológica Municipal",18
21,"Áreas com Funções Específicas","Espaço Canal","Espaço Canal",19
22,"Áreas com Funções Específicas","Risco","Área de Perigosidade",134
23,"Áreas com Funções Específicas","Risco","Área de Risco",133
24,"Áreas com Funções Específicas","Ruído","Zona Sensível ao Ruído",139
25,"Áreas com Funções Específicas","Ruído","Zona Mista ao Ruído",140
26,"Áreas com Funções Específicas","Zona de proteção e de salvaguarda dos recursos e valores naturais","Zona de proteção e de salvaguarda dos recursos e valores naturais",145
27,"Áreas com Funções Específicas","Património geológico","Geossítio",149
28,"Áreas com Funções Específicas","Inventário de bens culturais","Imóvel inventariado",150
29,"Programação da Execução do Plano","Programação da Execução do Plano","Unidade Operativa de Planeamento e Gestão (U.O.P.G.)",20
30,"Programação da Execução do Plano","Programação da Execução do Plano","Unidade de execução",138
31,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais","Área de Intervenção de Programa Especial",21
32,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais","Área de Intervenção de Programa Setorial",130
33,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Programas Territoriais","Área de Intervenção de Programa Intermunicipal",131
34,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Planos Territoriais","Área de Intervenção de Plano Intermunicipal (PUI, PPI)",132
35,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Planos Territoriais","Área de Intervenção de Plano Municipal (PU, PP)",22
36,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Reabilitação ou Revitalização","Área Urbana de Génese Ilegal (AUGI)",135
37,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Reabilitação ou Revitalização","Área de Reabilitação Urbana (ARU)",136
38,"Áreas de Intervenção de Outros Instrumentos ou Entidades","Área de Jurisdição dos Portos","Área de Jurisdição do Porto",129
39,"Sistemas Estruturantes","Equipamentos de Utilização Coletiva","Equipamento de Utilização Coletiva",23
40,"Sistemas Estruturantes","Equipamentos de Utilização Coletiva","Equipamento de Utilização Coletiva Previsto",24
41,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Principal",25
42,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Principal Prevista",26
43,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Distribuidora",27
44,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia Distribuidora Prevista",28
45,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia de Acesso Local",29
46,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Rodovia de Acesso Local Prevista",30
47,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Nó Rodoviário",31
48,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Nó Rodoviário Previsto",32
49,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Via-Férrea",35
50,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Via-Férrea Prevista",36
51,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estação ou Interface de Transporte",33
52,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estação ou Interface de Transporte Prevista",34
53,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estacionamento",146
54,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Estacionamento Previsto",147
55,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Infraestrutura de Transporte Aéreo",37
56,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Infraestrutura de Transporte Aéreo Prevista",38
57,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Porto",39
58,"Sistemas Estruturantes","Infraestruturas de Circulação e Transporte","Porto Previsto",40
59,"Sistemas Estruturantes","Infraestruturas de Abastecimento de Água","Captação, Tratamento ou Armazenamento de Água",41
60,"Sistemas Estruturantes","Infraestruturas de Abastecimento de Água","Captação, Tratamento ou Armazenamento de Água Prevista",42
61,"Sistemas Estruturantes","Infraestruturas de Drenagem de Águas Residuais","Bombagem ou Tratamento de Águas Residuais",45
62,"Sistemas Estruturantes","Infraestruturas de Drenagem de Águas Residuais","Bombagem ou Tratamento de Águas Residuais Prevista",46
63,"Sistemas Estruturantes","Infraestruturasde Recolha e Tratamento de Resíduos Sólidos","Estação de Tratamento de Resíduos Sólidos",47
64,"Sistemas Estruturantes","Infraestruturasde Recolha e Tratamento de Resíduos Sólidos","Estação de Tratamento de Resíduos Sólidos Prevista",48
65,"Sistemas Estruturantes","Infraestruturas de Abastecimento de Energia Elétrica","Infraestrutura de Produção ou Transformação de Energia Elétrica",49
66,"Sistemas Estruturantes","Infraestruturas de Abastecimento de Energia Elétrica","Infraestrutura de Produção ou Transformação de Energia Elétrica Prevista",50
